activity_id,name_th,category,cognitive_benefit,difficulty,duration_min,description
0,ไทเก็ก,exercise,0.489,easy,15,ไทเก็ก เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 15 นาที
1,โยคะเบาๆ,exercise,0.392,easy,20,โยคะเบาๆ เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 20 นาที
2,รำพื้นบ้าน,exercise,0.489,easy,60,รำพื้นบ้าน เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 60 นาที
3,เดินเร็วในสวน,exercise,0.464,hard,15,เดินเร็วในสวน เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 15 นาที
4,ออกกำลังบนเก้าอี้,exercise,0.385,easy,15,ออกกำลังบนเก้าอี้ เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 15 นาที
5,ยืดเหยียดยามเช้า,exercise,0.466,easy,45,ยืดเหยียดยามเช้า เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 45 นาที
6,ฟิตเนสเบาๆ,exercise,0.485,hard,20,ฟิตเนสเบาๆ เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 20 นาที
7,รำมวยจีน,exercise,0.405,hard,30,รำมวยจีน เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 30 นาที
8,แอโรบิกผู้สูงวัย,exercise,0.5,hard,30,แอโรบิกผู้สูงวัย เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 30 นาที
9,เดินวันละ 1 กม.,exercise,0.482,easy,20,เดินวันละ 1 กม. เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 20 นาที
10,เกมจับคู่ภาพ,cognitive,0.445,medium,30,เกมจับคู่ภาพ เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 30 นาที
11,ครอสเวิร์ดไทย,cognitive,0.435,medium,15,ครอสเวิร์ดไทย เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 15 นาที
12,ซูโดกุ,cognitive,0.556,easy,30,ซูโดกุ เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 30 นาที
13,หมากรุก,cognitive,0.549,hard,30,หมากรุก เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 30 นาที
14,หมากกระดาน,cognitive,0.44,medium,45,หมากกระดาน เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 45 นาที
15,จดจำลำดับเลข,cognitive,0.508,medium,15,จดจำลำดับเลข เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 15 นาที
16,เกมความจำ,cognitive,0.512,hard,30,เกมความจำ เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 30 นาที
17,อ่านนิทาน-สรุป,cognitive,0.526,easy,15,อ่านนิทาน-สรุป เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 15 นาที
18,ทายปัญหา,cognitive,0.557,medium,15,ทายปัญหา เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 15 นาที
19,ฝึกคำนวณ,cognitive,0.464,easy,30,ฝึกคำนวณ เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 30 นาที
20,สนทนาวงแชร์,social,0.329,medium,20,สนทนาวงแชร์ เป็นกิจกรรมประเภทกิจกรรมกลุ่ม ใช้เวลาประมาณ 20 นาที
21,ชมรมผู้สูงอายุ,social,0.313,easy,60,ชมรมผู้สูงอายุ เป็นกิจกรรมประเภทกิจกรรมกลุ่ม ใช้เวลาประมาณ 60 นาที
22,ตลาดนัดสุขภาพ,social,0.372,easy,45,ตลาดนัดสุขภาพ เป็นกิจกรรมประเภทกิจกรรมกลุ่ม ใช้เวลาประมาณ 45 นาที
23,งานบุญในวัด,social,0.309,hard,60,งานบุญในวัด เป็นกิจกรรมประเภทกิจกรรมกลุ่ม ใช้เวลาประมาณ 60 นาที
24,ปาร์ตี้น้ำชา,social,0.313,medium,30,ปาร์ตี้น้ำชา เป็นกิจกรรมประเภทกิจกรรมกลุ่ม ใช้เวลาประมาณ 30 นาที
25,พบปะเพื่อนเก่า,social,0.38,hard,20,พบปะเพื่อนเก่า เป็นกิจกรรมประเภทกิจกรรมกลุ่ม ใช้เวลาประมาณ 20 นาที
26,งานบรรยายสุขภาพ,social,0.401,easy,20,งานบรรยายสุขภาพ เป็นกิจกรรมประเภทกิจกรรมกลุ่ม ใช้เวลาประมาณ 20 นาที
27,ทริปหนึ่งวัน,social,0.313,medium,30,ทริปหนึ่งวัน เป็นกิจกรรมประเภทกิจกรรมกลุ่ม ใช้เวลาประมาณ 30 นาที
28,ปลูกผักร่วม,social,0.41,easy,45,ปลูกผักร่วม เป็นกิจกรรมประเภทกิจกรรมกลุ่ม ใช้เวลาประมาณ 45 นาที
29,ทำขนมร่วมกัน,social,0.375,medium,20,ทำขนมร่วมกัน เป็นกิจกรรมประเภทกิจกรรมกลุ่ม ใช้เวลาประมาณ 20 นาที
30,วาดภาพระบายสี,art,0.293,medium,60,วาดภาพระบายสี เป็นกิจกรรมประเภทศิลปะและงานฝีมือ ใช้เวลาประมาณ 60 นาที
31,ปั้นดินไทย,art,0.259,medium,20,ปั้นดินไทย เป็นกิจกรรมประเภทศิลปะและงานฝีมือ ใช้เวลาประมาณ 20 นาที
32,ถักโครเชต์,art,0.262,hard,45,ถักโครเชต์ เป็นกิจกรรมประเภทศิลปะและงานฝีมือ ใช้เวลาประมาณ 45 นาที
33,จักสาน,art,0.364,hard,30,จักสาน เป็นกิจกรรมประเภทศิลปะและงานฝีมือ ใช้เวลาประมาณ 30 นาที
34,ทำเครื่องประดับ,art,0.255,medium,30,ทำเครื่องประดับ เป็นกิจกรรมประเภทศิลปะและงานฝีมือ ใช้เวลาประมาณ 30 นาที
35,ทำการ์ดอวยพร,art,0.299,easy,45,ทำการ์ดอวยพร เป็นกิจกรรมประเภทศิลปะและงานฝีมือ ใช้เวลาประมาณ 45 นาที
36,แต่งสวนถาด,art,0.244,easy,15,แต่งสวนถาด เป็นกิจกรรมประเภทศิลปะและงานฝีมือ ใช้เวลาประมาณ 15 นาที
37,ทำดอกไม้กระดาษ,art,0.288,easy,60,ทำดอกไม้กระดาษ เป็นกิจกรรมประเภทศิลปะและงานฝีมือ ใช้เวลาประมาณ 60 นาที
38,งานปะติด,art,0.281,easy,30,งานปะติด เป็นกิจกรรมประเภทศิลปะและงานฝีมือ ใช้เวลาประมาณ 30 นาที
39,เพ้นท์เซรามิค,art,0.26,medium,45,เพ้นท์เซรามิค เป็นกิจกรรมประเภทศิลปะและงานฝีมือ ใช้เวลาประมาณ 45 นาที
40,ร้องเพลงเก่า,music,0.349,hard,15,ร้องเพลงเก่า เป็นกิจกรรมประเภทดนตรีและการขับร้อง ใช้เวลาประมาณ 15 นาที
41,เล่นซอ,music,0.382,easy,60,เล่นซอ เป็นกิจกรรมประเภทดนตรีและการขับร้อง ใช้เวลาประมาณ 60 นาที
42,เล่นขลุ่ย,music,0.294,medium,60,เล่นขลุ่ย เป็นกิจกรรมประเภทดนตรีและการขับร้อง ใช้เวลาประมาณ 60 นาที
43,คาราโอเกะ,music,0.265,medium,30,คาราโอเกะ เป็นกิจกรรมประเภทดนตรีและการขับร้อง ใช้เวลาประมาณ 30 นาที
44,เคาะจังหวะ,music,0.38,easy,60,เคาะจังหวะ เป็นกิจกรรมประเภทดนตรีและการขับร้อง ใช้เวลาประมาณ 60 นาที
45,ฟังเพลงร่วม,music,0.362,medium,45,ฟังเพลงร่วม เป็นกิจกรรมประเภทดนตรีและการขับร้อง ใช้เวลาประมาณ 45 นาที
46,ลีลาศ,music,0.379,hard,15,ลีลาศ เป็นกิจกรรมประเภทดนตรีและการขับร้อง ใช้เวลาประมาณ 15 นาที
47,ร้องเพลงลูกทุ่ง,music,0.321,medium,60,ร้องเพลงลูกทุ่ง เป็นกิจกรรมประเภทดนตรีและการขับร้อง ใช้เวลาประมาณ 60 นาที
48,เล่นกลอง,music,0.3,easy,20,เล่นกลอง เป็นกิจกรรมประเภทดนตรีและการขับร้อง ใช้เวลาประมาณ 20 นาที
49,ทำกล่องดนตรี,music,0.393,easy,45,ทำกล่องดนตรี เป็นกิจกรรมประเภทดนตรีและการขับร้อง ใช้เวลาประมาณ 45 นาที
50,สมาธิ 10 นาที,mindful,0.416,hard,15,สมาธิ 10 นาที เป็นกิจกรรมประเภทสมาธิและผ่อนคลาย ใช้เวลาประมาณ 15 นาที
51,หายใจ 4-7-8,mindful,0.338,medium,15,หายใจ 4-7-8 เป็นกิจกรรมประเภทสมาธิและผ่อนคลาย ใช้เวลาประมาณ 15 นาที
52,นั่งสมาธิเดิน,mindful,0.358,medium,30,นั่งสมาธิเดิน เป็นกิจกรรมประเภทสมาธิและผ่อนคลาย ใช้เวลาประมาณ 30 นาที
53,โยคะนิทรา,mindful,0.472,easy,45,โยคะนิทรา เป็นกิจกรรมประเภทสมาธิและผ่อนคลาย ใช้เวลาประมาณ 45 นาที
54,จิตศึกษา,mindful,0.398,easy,60,จิตศึกษา เป็นกิจกรรมประเภทสมาธิและผ่อนคลาย ใช้เวลาประมาณ 60 นาที
55,สวดมนต์,mindful,0.443,easy,45,สวดมนต์ เป็นกิจกรรมประเภทสมาธิและผ่อนคลาย ใช้เวลาประมาณ 45 นาที
56,ฟังธรรม,mindful,0.396,easy,60,ฟังธรรม เป็นกิจกรรมประเภทสมาธิและผ่อนคลาย ใช้เวลาประมาณ 60 นาที
57,ผ่อนคลายกล้ามเนื้อ,mindful,0.362,hard,20,ผ่อนคลายกล้ามเนื้อ เป็นกิจกรรมประเภทสมาธิและผ่อนคลาย ใช้เวลาประมาณ 20 นาที
58,จดบันทึกขอบคุณ,mindful,0.474,hard,30,จดบันทึกขอบคุณ เป็นกิจกรรมประเภทสมาธิและผ่อนคลาย ใช้เวลาประมาณ 30 นาที
59,ดื่มชาอย่างมีสติ,mindful,0.43,hard,60,ดื่มชาอย่างมีสติ เป็นกิจกรรมประเภทสมาธิและผ่อนคลาย ใช้เวลาประมาณ 60 นาที
60,ทำส้มตำไม่เผ็ด,nutrition,0.459,medium,30,ทำส้มตำไม่เผ็ด เป็นกิจกรรมประเภทโภชนาการ/ทำอาหาร ใช้เวลาประมาณ 30 นาที
61,ทำต้มจืด,nutrition,0.444,medium,30,ทำต้มจืด เป็นกิจกรรมประเภทโภชนาการ/ทำอาหาร ใช้เวลาประมาณ 30 นาที
62,ปรับสูตรลดเค็ม,nutrition,0.34,medium,15,ปรับสูตรลดเค็ม เป็นกิจกรรมประเภทโภชนาการ/ทำอาหาร ใช้เวลาประมาณ 15 นาที
63,ทำสลัดผัก,nutrition,0.303,easy,30,ทำสลัดผัก เป็นกิจกรรมประเภทโภชนาการ/ทำอาหาร ใช้เวลาประมาณ 30 นาที
64,ทำขนมไทย,nutrition,0.394,hard,20,ทำขนมไทย เป็นกิจกรรมประเภทโภชนาการ/ทำอาหาร ใช้เวลาประมาณ 20 นาที
65,อ่านฉลากโภชนาการ,nutrition,0.413,easy,15,อ่านฉลากโภชนาการ เป็นกิจกรรมประเภทโภชนาการ/ทำอาหาร ใช้เวลาประมาณ 15 นาที
66,ทำน้ำสมุนไพร,nutrition,0.311,easy,20,ทำน้ำสมุนไพร เป็นกิจกรรมประเภทโภชนาการ/ทำอาหาร ใช้เวลาประมาณ 20 นาที
67,ทำกับข้าวลดน้ำตาล,nutrition,0.311,easy,30,ทำกับข้าวลดน้ำตาล เป็นกิจกรรมประเภทโภชนาการ/ทำอาหาร ใช้เวลาประมาณ 30 นาที
68,ปลูกผักสวนครัว,nutrition,0.407,easy,30,ปลูกผักสวนครัว เป็นกิจกรรมประเภทโภชนาการ/ทำอาหาร ใช้เวลาประมาณ 30 นาที
69,ทำข้าวต้มกุ้ง,nutrition,0.321,easy,45,ทำข้าวต้มกุ้ง เป็นกิจกรรมประเภทโภชนาการ/ทำอาหาร ใช้เวลาประมาณ 45 นาที
70,เดินตลาดเช้า,outdoor,0.416,hard,45,เดินตลาดเช้า เป็นกิจกรรมประเภทกิจกรรมกลางแจ้ง ใช้เวลาประมาณ 45 นาที
71,เก็บผักสวน,outdoor,0.37,medium,30,เก็บผักสวน เป็นกิจกรรมประเภทกิจกรรมกลางแจ้ง ใช้เวลาประมาณ 30 นาที
72,รดน้ำต้นไม้,outdoor,0.409,easy,60,รดน้ำต้นไม้ เป็นกิจกรรมประเภทกิจกรรมกลางแจ้ง ใช้เวลาประมาณ 60 นาที
73,ไปวัดทำบุญ,outdoor,0.415,medium,30,ไปวัดทำบุญ เป็นกิจกรรมประเภทกิจกรรมกลางแจ้ง ใช้เวลาประมาณ 30 นาที
74,นั่งฟังนกที่สวน,outdoor,0.445,easy,60,นั่งฟังนกที่สวน เป็นกิจกรรมประเภทกิจกรรมกลางแจ้ง ใช้เวลาประมาณ 60 นาที
75,ปั่นจักรยานเบาๆ,outdoor,0.404,easy,15,ปั่นจักรยานเบาๆ เป็นกิจกรรมประเภทกิจกรรมกลางแจ้ง ใช้เวลาประมาณ 15 นาที
76,เดินรอบหมู่บ้าน,outdoor,0.38,medium,15,เดินรอบหมู่บ้าน เป็นกิจกรรมประเภทกิจกรรมกลางแจ้ง ใช้เวลาประมาณ 15 นาที
77,ตกปลา,outdoor,0.412,easy,45,ตกปลา เป็นกิจกรรมประเภทกิจกรรมกลางแจ้ง ใช้เวลาประมาณ 45 นาที
78,พายเรือเล่น,outdoor,0.385,medium,20,พายเรือเล่น เป็นกิจกรรมประเภทกิจกรรมกลางแจ้ง ใช้เวลาประมาณ 20 นาที
79,ปิคนิคในชุมชน,outdoor,0.411,easy,15,ปิคนิคในชุมชน เป็นกิจกรรมประเภทกิจกรรมกลางแจ้ง ใช้เวลาประมาณ 15 นาที
80,ใช้สมาร์ทโฟนเบื้องต้น,learning,0.408,hard,15,ใช้สมาร์ทโฟนเบื้องต้น เป็นกิจกรรมประเภทเรียนรู้ทักษะใหม่ ใช้เวลาประมาณ 15 นาที
81,LINE ส่งข้อความ,learning,0.555,hard,15,LINE ส่งข้อความ เป็นกิจกรรมประเภทเรียนรู้ทักษะใหม่ ใช้เวลาประมาณ 15 นาที
82,อ่านข่าวสุขภาพ,learning,0.465,easy,20,อ่านข่าวสุขภาพ เป็นกิจกรรมประเภทเรียนรู้ทักษะใหม่ ใช้เวลาประมาณ 20 นาที
83,เรียนภาษาอังกฤษพื้นฐาน,learning,0.538,medium,20,เรียนภาษาอังกฤษพื้นฐาน เป็นกิจกรรมประเภทเรียนรู้ทักษะใหม่ ใช้เวลาประมาณ 20 นาที
84,หัดถ่ายรูป,learning,0.461,easy,20,หัดถ่ายรูป เป็นกิจกรรมประเภทเรียนรู้ทักษะใหม่ ใช้เวลาประมาณ 20 นาที
85,ใช้ YouTube,learning,0.548,medium,30,ใช้ YouTube เป็นกิจกรรมประเภทเรียนรู้ทักษะใหม่ ใช้เวลาประมาณ 30 นาที
86,การออม,learning,0.468,medium,30,การออม เป็นกิจกรรมประเภทเรียนรู้ทักษะใหม่ ใช้เวลาประมาณ 30 นาที
87,ภาษีสำหรับผู้สูงวัย,learning,0.515,hard,60,ภาษีสำหรับผู้สูงวัย เป็นกิจกรรมประเภทเรียนรู้ทักษะใหม่ ใช้เวลาประมาณ 60 นาที
88,เรียนรู้สมุนไพร,learning,0.447,easy,20,เรียนรู้สมุนไพร เป็นกิจกรรมประเภทเรียนรู้ทักษะใหม่ ใช้เวลาประมาณ 20 นาที
89,หัดทำ vlog,learning,0.518,easy,45,หัดทำ vlog เป็นกิจกรรมประเภทเรียนรู้ทักษะใหม่ ใช้เวลาประมาณ 45 นาที
90,ช่วยงานวัด,volunteer,0.33,easy,60,ช่วยงานวัด เป็นกิจกรรมประเภทจิตอาสาในชุมชน ใช้เวลาประมาณ 60 นาที
91,อ่านหนังสือให้เด็ก,volunteer,0.356,easy,45,อ่านหนังสือให้เด็ก เป็นกิจกรรมประเภทจิตอาสาในชุมชน ใช้เวลาประมาณ 45 นาที
92,สอนงานฝีมือ,volunteer,0.289,hard,20,สอนงานฝีมือ เป็นกิจกรรมประเภทจิตอาสาในชุมชน ใช้เวลาประมาณ 20 นาที
93,ดูแลสวนสาธารณะ,volunteer,0.416,hard,15,ดูแลสวนสาธารณะ เป็นกิจกรรมประเภทจิตอาสาในชุมชน ใช้เวลาประมาณ 15 นาที
94,อบรมเล่นบอร์ดเกม,volunteer,0.291,easy,45,อบรมเล่นบอร์ดเกม เป็นกิจกรรมประเภทจิตอาสาในชุมชน ใช้เวลาประมาณ 45 นาที
95,ช่วยงาน อสม.,volunteer,0.299,easy,30,ช่วยงาน อสม. เป็นกิจกรรมประเภทจิตอาสาในชุมชน ใช้เวลาประมาณ 30 นาที
96,แจกอาหารผู้ป่วย,volunteer,0.373,hard,20,แจกอาหารผู้ป่วย เป็นกิจกรรมประเภทจิตอาสาในชุมชน ใช้เวลาประมาณ 20 นาที
97,สอนทำขนม,volunteer,0.293,easy,45,สอนทำขนม เป็นกิจกรรมประเภทจิตอาสาในชุมชน ใช้เวลาประมาณ 45 นาที
98,ช่วยงานโรงเรียน,volunteer,0.364,hard,45,ช่วยงานโรงเรียน เป็นกิจกรรมประเภทจิตอาสาในชุมชน ใช้เวลาประมาณ 45 นาที
99,ร่วมเก็บขยะชุมชน,volunteer,0.387,medium,20,ร่วมเก็บขยะชุมชน เป็นกิจกรรมประเภทจิตอาสาในชุมชน ใช้เวลาประมาณ 20 นาที
